DataID,Temperature1,Temperature2,Humidity1,Humidity2,LDR,Pump,Heater,Date,6:07:34 PM
13,45,31,18,58,895,OFF,OFF,10/12/2020,6:31:26 PM
14,52,41,46,60,722,ON,OFF,10/12/2020,6:31:26 PM
15,51,36,51,55,920,OFF,OFF,10/12/2020,6:31:26 PM
16,52,41,43,99,255,OFF,OFF,10/12/2020,6:31:26 PM
17,45,34,60,101,30,OFF,ON,10/12/2020,6:31:27 PM
18,43,34,53,62,44,OFF,ON,10/12/2020,6:31:27 PM
19,44,34,25,82,804,OFF,OFF,10/12/2020,6:31:27 PM
20,49,42,52,102,997,ON,ON,10/12/2020,6:31:27 PM
21,47,39,52,99,168,OFF,OFF,10/12/2020,6:31:27 PM
22,46,35,32,109,1000,OFF,ON,10/12/2020,6:31:27 PM
23,46,40,35,79,179,ON,ON,10/12/2020,6:31:28 PM
24,43,39,60,97,411,ON,ON,10/12/2020,6:31:28 PM
25,45,36,48,52,267,ON,ON,10/12/2020,6:31:28 PM
26,50,41,52,53,180,OFF,ON,10/12/2020,6:31:28 PM
27,42,38,27,65,732,OFF,OFF,10/12/2020,6:31:28 PM
28,48,32,37,93,810,OFF,ON,10/12/2020,6:31:29 PM
29,49,38,54,81,859,ON,OFF,10/12/2020,6:31:29 PM
30,43,33,40,106,786,OFF,ON,10/12/2020,6:31:29 PM
31,52,33,61,92,676,OFF,OFF,10/12/2020,6:31:29 PM
32,47,42,39,90,737,OFF,ON,10/12/2020,6:31:30 PM
33,52,38,72,88,686,OFF,OFF,10/12/2020,6:31:30 PM
34,45,35,21,89,55,ON,OFF,10/12/2020,6:31:30 PM
35,42,34,48,68,249,ON,ON,10/12/2020,6:31:30 PM
36,51,33,64,74,612,ON,ON,10/12/2020,6:31:31 PM
37,50,33,25,73,905,ON,OFF,10/12/2020,6:31:31 PM
38,51,41,46,54,856,OFF,ON,10/12/2020,6:31:31 PM
39,49,32,48,102,141,OFF,OFF,10/12/2020,6:31:31 PM
40,45,41,64,55,909,ON,ON,10/12/2020,6:31:31 PM
41,51,39,20,110,638,OFF,OFF,10/12/2020,6:31:32 PM
42,45,33,54,54,392,OFF,ON,10/12/2020,6:31:32 PM
43,46,35,22,73,758,OFF,ON,10/12/2020,6:31:32 PM
44,43,41,70,59,637,ON,OFF,10/12/2020,6:31:32 PM
45,45,39,45,80,798,OFF,ON,10/12/2020,6:31:33 PM
46,42,35,63,83,751,ON,ON,10/12/2020,6:31:33 PM
47,45,33,70,72,661,ON,ON,10/12/2020,6:31:33 PM
48,46,40,60,81,192,OFF,OFF,10/12/2020,6:31:33 PM
49,42,37,32,106,304,OFF,OFF,10/12/2020,6:31:33 PM
50,46,40,17,104,335,OFF,OFF,10/12/2020,6:31:33 PM
51,52,40,63,88,261,ON,OFF,10/12/2020,6:31:34 PM
52,49,39,52,72,674,ON,ON,10/12/2020,6:31:34 PM
53,43,42,42,89,281,OFF,OFF,10/12/2020,6:31:34 PM
54,46,39,23,56,852,OFF,OFF,10/12/2020,6:31:34 PM
55,49,39,32,84,855,OFF,OFF,10/12/2020,6:31:34 PM
56,48,35,70,64,731,OFF,OFF,10/12/2020,6:31:35 PM
57,45,40,36,80,612,OFF,ON,10/12/2020,6:31:35 PM
58,51,42,57,102,146,OFF,ON,10/12/2020,6:31:35 PM
59,48,42,24,65,791,OFF,OFF,10/12/2020,6:31:35 PM
60,51,35,21,62,97,OFF,OFF,10/12/2020,6:31:36 PM
61,49,42,61,109,884,OFF,OFF,10/12/2020,6:31:36 PM
62,43,39,57,104,292,ON,ON,10/12/2020,6:31:36 PM
63,42,35,47,99,864,ON,ON,10/12/2020,6:31:36 PM
64,50,36,46,73,629,ON,OFF,10/12/2020,6:31:37 PM
65,50,40,49,102,207,ON,ON,10/12/2020,6:31:37 PM
66,49,32,17,57,326,OFF,OFF,10/12/2020,6:31:37 PM
67,52,37,46,63,705,OFF,ON,10/12/2020,6:31:37 PM
68,48,42,54,92,25,ON,ON,10/12/2020,6:31:37 PM
69,45,35,66,95,241,OFF,OFF,10/12/2020,6:31:37 PM
70,49,37,17,60,85,ON,OFF,10/12/2020,6:31:37 PM
71,45,32,55,78,160,OFF,OFF,10/12/2020,6:31:38 PM
72,42,38,32,109,299,ON,OFF,10/12/2020,6:31:38 PM
73,44,35,61,84,720,OFF,OFF,10/12/2020,6:31:38 PM
74,43,34,35,86,671,OFF,ON,10/12/2020,6:31:38 PM
75,50,41,29,73,831,ON,ON,10/12/2020,6:31:39 PM
76,45,38,68,73,921,ON,OFF,10/12/2020,6:31:39 PM
77,47,38,41,63,367,OFF,ON,10/12/2020,6:31:39 PM
78,49,34,55,79,251,OFF,ON,10/12/2020,6:31:39 PM
79,51,41,24,102,698,ON,OFF,10/12/2020,6:31:40 PM
80,46,37,25,67,663,OFF,ON,10/12/2020,6:31:40 PM
81,44,37,53,76,165,ON,OFF,10/12/2020,6:31:40 PM
82,47,33,50,81,931,ON,ON,10/12/2020,6:31:40 PM
83,51,36,65,56,676,OFF,OFF,10/12/2020,6:31:40 PM
84,45,34,20,52,109,ON,ON,10/12/2020,6:31:41 PM
85,50,35,53,57,195,ON,ON,10/12/2020,6:31:41 PM
86,42,38,21,52,253,OFF,OFF,10/12/2020,6:31:41 PM
87,47,36,55,69,72,ON,ON,10/12/2020,6:31:41 PM
